,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
14,"(Node7*, Node6*)",2.969044516435082,0.17068425722752972,0.170869868890202,2.3720468131852187e-180,Informative,InfoT2T,p2,1.0429702e-06
15,"(t000110, Node55*)",2.993556793345705,0.170661473407149,0.170869868890202,2.375923730949548e-183,Informative,InfoT2T,p2,0.0034138348159399997
16,"(t000111, Node55*)",2.985556415352414,0.17086672920538876,0.170869868890202,5.944731520385392e-182,Informative,InfoT2T,p2,0.006106270424299999
17,"(Node58*, Node57*)",2.971093989306416,0.17047056368921779,0.170869868890202,4.8105737501324866e-181,Informative,InfoT2T,p2,0.00296481637552
18,"(Node59*, Node57*)",2.9807520027337198,0.1706832466891899,0.170869868890202,9.259357668634812e-182,Informative,InfoT2T,p2,0.004143500832579999
19,"(Node61*, Node60*)",2.9778589767462065,0.1706618385333153,0.170869868890202,1.860865933065779e-181,Informative,InfoT2T,p2,0.005241034725299999
20,"(Node62*, Node60*)",2.9728114737197022,0.17066520719217088,0.170869868890202,7.644773060423236e-181,Informative,InfoT2T,p2,0.00332819934117
21,"(t000101, Node7*)",2.991197342317097,0.1706732057158524,0.170869868890202,4.851231805760227e-183,Informative,InfoT2T,p2,0.00524993927969
22,"(Node8*, Node7*)",-0.1298699937814072,0.17086710319863266,0.170869868890202,0.8943857661281929,Saturated,SatuT2T,p2,1.5462738744155
23,"(t001000, Node58*)",2.98103303296949,0.1706882626479126,0.170869868890202,8.77602384213134e-182,Informative,InfoT2T,p2,0.00510987725031
24,"(t001001, Node58*)",2.980237098394629,0.17067453079709513,0.170869868890202,1.0238509465104969e-181,Informative,InfoT2T,p2,0.00658719188201
25,"(t001010, Node59*)",2.9940056685463623,0.1706690797331466,0.170869868890202,2.176153669099808e-183,Informative,InfoT2T,p2,0.00463994868927
26,"(t001011, Node59*)",2.992357055809775,0.17066280998334854,0.170869868890202,3.3396479223170427e-183,Informative,InfoT2T,p2,0.0029365967797799998
27,"(t001100, Node61*)",2.998836292791472,0.17080886666713116,0.170869868890202,1.1225752252073173e-183,Informative,InfoT2T,p2,0.0023601388360399997
28,"(t001101, Node61*)",2.9954975756127413,0.17069225497272833,0.170869868890202,1.6085778505469409e-183,Informative,InfoT2T,p2,0.00045821149755
29,"(t001110, Node62*)",2.9767722800282823,0.17067199615264456,0.170869868890202,2.640589394446719e-181,Informative,InfoT2T,p2,0.00618875934389
30,"(t001111, Node62*)",2.9855414589294855,0.17049250033125898,0.170869868890202,9.698518394823117e-183,Informative,InfoT2T,p2,0.00523273036377
31,"(Node9*, Node8*)",0.0008935850799764584,0.045240409634276606,0.170869868890202,0.4870410353284273,Saturated,SatuT2T,p2,1.1010207762819
32,"(Node24*, Node8*)",0.011081362153620813,0.039777668059041496,0.170869868890202,0.3233945263883035,Saturated,SatuT2T,p2,0.36872247412962
33,"(Node10*, Node9*)",2.999962286240201,0.1708696009496747,0.170869868890202,1.104076113831586e-183,Informative,InfoT2T,p2,0.00476647002777
34,"(t010110, Node9*)",2.980694959244278,0.16977039079027453,0.170869868890202,1.0943653352288942e-183,Informative,InfoT2T,p2,1.15941519e-06
35,"(Node25*, Node24*)",0.04403895155957134,0.029985944592542318,0.170869868890202,0.007852078321211453,Informative,SatuT2T,p2,0.6998345261604999
36,"(Node40*, Node24*)",0.01928681117196679,0.07095018744366412,0.170869868890202,0.3273904776066915,Saturated,SatuT2T,p2,1.5573357304459998
37,"(Node11*, Node10*)",2.9916493670524633,0.17086867291493843,0.170869868890202,1.1078818438078504e-182,Informative,InfoT2T,p2,0.00260668590572
38,"(t010111, Node10*)",2.9999522270757177,0.17086715170781663,0.170869868890202,1.0939991159135076e-183,Informative,InfoT2T,p2,0.0032943653047399998
39,"(Node26*, Node25*)",2.9779711597860214,0.17012932108747733,0.170869868890202,1.3591275045814523e-182,Informative,InfoT2T,p2,0.00422003604593
40,"(Node37*, Node25*)",2.957491810836642,0.1699117405695858,0.170869868890202,1.406050836510149e-180,Informative,InfoT2T,p2,9.7585613e-07
41,"(Node41*, Node40*)",2.9498617309348933,0.1690565058040114,0.170869868890202,1.8535848897911868e-181,Informative,InfoT2T,p2,1.2099932399999999e-06
42,"(Node52*, Node40*)",2.97849183224244,0.17058433803032624,0.170869868890202,1.073375458079722e-181,Informative,InfoT2T,p2,0.00709302055818
43,"(Node12*, Node11*)",2.9854604198925703,0.17086864755084655,0.170869868890202,6.161871403059249e-182,Informative,InfoT2T,p2,0.004522782350039999
44,"(Node23*, Node11*)",2.9946837781101183,0.1706782976303318,0.170869868890202,1.884706265131034e-183,Informative,InfoT2T,p2,0.00613195248001
45,"(Node27*, Node26*)",2.99978013177934,0.17086504909713082,0.170869868890202,1.1359450045828154e-183,Informative,InfoT2T,p2,0.007625880592339999
46,"(Node34*, Node26*)",2.9998028434344093,0.17086171322229862,0.170869868890202,1.110535475715864e-183,Informative,InfoT2T,p2,0.004507825150429999
47,"(Node38*, Node37*)",2.9731951170635686,0.17036347769722937,0.170869868890202,1.6009516404844684e-181,Informative,InfoT2T,p2,0.00491565869306
48,"(Node39*, Node37*)",2.950689953220508,0.1706675809079676,0.170869868890202,3.424394485301992e-178,Informative,InfoT2T,p2,0.00760628148249
49,"(Node42*, Node41*)",2.946314091727477,0.1707006575455407,0.170869868890202,1.329340513819932e-177,Informative,InfoT2T,p2,0.013645927912689999
50,"(Node49*, Node41*)",2.9769089009597574,0.17051685987520285,0.170869868890202,1.2008894540825414e-181,Informative,InfoT2T,p2,0.0021986715754300002
51,"(Node53*, Node52*)",2.9909665497486837,0.17065903309277045,0.170869868890202,4.827544940824741e-183,Informative,InfoT2T,p2,0.0034525893806899998
52,"(Node54*, Node52*)",2.9710637436092795,0.17086325492575738,0.170869868890202,3.2075780365592155e-180,Informative,InfoT2T,p2,0.00458032709917
53,"(Node13*, Node12*)",2.9764421595256674,0.17067431142368764,0.170869868890202,2.925770359671741e-181,Informative,InfoT2T,p2,0.00258179660898
54,"(Node16*, Node12*)",2.989536607576149,0.17067548805225383,0.170869868890202,7.78472396640654e-183,Informative,InfoT2T,p2,0.007653810946300001
55,"(t010100, Node23*)",2.9999423750254164,0.17086658760015477,0.170869868890202,1.0939832477915556e-183,Informative,InfoT2T,p2,0.00426752264542
56,"(t010101, Node23*)",2.9999530934722602,0.17086719780547796,0.170869868890202,1.093981744386063e-183,Informative,InfoT2T,p2,0.0052412457674099995
57,"(Node28*, Node27*)",2.9852939742347684,0.17086322916286262,0.170869868890202,6.285602592987451e-182,Informative,InfoT2T,p2,0.0038677757246599995
58,"(Node31*, Node27*)",2.9921220533809474,0.17086307253311764,0.170869868890202,9.455513769941897e-183,Informative,InfoT2T,p2,0.0072504072556199995
59,"(Node35*, Node34*)",2.9927241458908367,0.17086788263495448,0.170869868890202,8.189221718264804e-183,Informative,InfoT2T,p2,0.0050460477050199995
60,"(Node36*, Node34*)",2.9937678601434676,0.17086688275003012,0.170869868890202,6.0988413295947585e-183,Informative,InfoT2T,p2,0.00307125245442
61,"(t101000, Node38*)",2.9928642262486873,0.1706609234340557,0.170869868890202,2.8734110285178192e-183,Informative,InfoT2T,p2,0.00281933491963
62,"(t101001, Node38*)",2.994718327147177,0.1706775531541179,0.170869868890202,1.8598833160670786e-183,Informative,InfoT2T,p2,0.004751627425549999
63,"(t101010, Node39*)",2.98769296046781,0.17036568209735511,0.170869868890202,2.8683253238973076e-183,Informative,InfoT2T,p2,0.0031322283815099997
64,"(t101011, Node39*)",2.987340612017192,0.17035704393228318,0.170869868890202,3.033558732724902e-183,Informative,InfoT2T,p2,0.0030107263255499997
65,"(Node43*, Node42*)",2.965729059465698,0.17028488605802938,0.170869868890202,8.678204140217921e-181,Informative,InfoT2T,p2,0.00714312178881
66,"(Node46*, Node42*)",2.9446334755112886,0.17029822749965828,0.170869868890202,3.127877151199537e-178,Informative,InfoT2T,p2,0.007233515895949999
67,"(Node50*, Node49*)",2.9749068550345505,0.1707081710084042,0.170869868890202,5.267827580627291e-181,Informative,InfoT2T,p2,0.0038346590189299997
68,"(Node51*, Node49*)",2.9908212671119916,0.1706762629864853,0.170869868890202,5.46702125763938e-183,Informative,InfoT2T,p2,0.00624173179111
69,"(t111100, Node53*)",2.9999183758577037,0.17086522968497983,0.170869868890202,1.094031344954854e-183,Informative,InfoT2T,p2,0.00232697487794
70,"(t111101, Node53*)",2.999971716678292,0.1708682591500627,0.170869868890202,1.0939851105759913e-183,Informative,InfoT2T,p2,0.00671515471803
71,"(t111110, Node54*)",2.9711538039036474,0.1704733756491858,0.170869868890202,4.796199431368673e-181,Informative,InfoT2T,p2,0.0026573913939299996
72,"(t111111, Node54*)",2.9711907026986255,0.17048694089231567,0.170869868890202,5.068656292140059e-181,Informative,InfoT2T,p2,0.006994431698379999
